cell_name	type	Tumor
MGH56_P14_C10	oligodendrocytes	56
MGH56_P16_H11	oligodendrocytes	56
MGH64_P10_A05	oligodendrocytes	64
MGH64_P3_F07	oligodendrocytes	64
MGH64_P5_A07	oligodendrocytes	64
MGH56_P16_F05	oligodendrocytes	56
MGH64_P10_A11	oligodendrocytes	64
MGH64_P3_H10	oligodendrocytes	64
MGH64-P16-G07	oligodendrocytes	64
MGH107neg_P2_A09	oligodendrocytes	107
MGH107neg_P2_B06	oligodendrocytes	107
MGH64-P16-A10	oligodendrocytes	64
MGH44_P5_C12	oligodendrocytes	44
MGH56_P11_E10	oligodendrocytes	56
MGH56_P12_F07	oligodendrocytes	56
MGH56_P12_H11	oligodendrocytes	56
MGH107neg_P2_G02	oligodendrocytes	107
MGH56_P11_G04	oligodendrocytes	56
MGH107neg_P5_B06	oligodendrocytes	107
MGH107neg_P2_F06	oligodendrocytes	107
MGH43_P8_F06	microglia/macrophage	43
MGH45_P5_F06	microglia/macrophage	45
MGH43_P3_E03	microglia/macrophage	43
MGH43_P3_G01	microglia/macrophage	43
MGH43_P3_G05	microglia/macrophage	43
MGH43_P3_H07	microglia/macrophage	43
MGH43_P4_C08	microglia/macrophage	43
MGH43_P5_B09	microglia/macrophage	43
MGH43_P7_D11	microglia/macrophage	43
MGH43_P5_G03	microglia/macrophage	43
MGH43_P6_E08	microglia/macrophage	43
MGH43_P5_D09	microglia/macrophage	43
MGH43_P5_F09	microglia/macrophage	43
MGH43_P6_C09	microglia/macrophage	43
MGH43_P7_B07	microglia/macrophage	43
MGH43_P7_E12	microglia/macrophage	43
MGH43_P6_G11	microglia/macrophage	43
MGH43_P7_A11	microglia/macrophage	43
MGH43_P7_F11	microglia/macrophage	43
MGH43_P6_D09	microglia/macrophage	43
MGH43_P6_D12	microglia/macrophage	43
MGH43_P7_B01	microglia/macrophage	43
MGH43_P7_F02	microglia/macrophage	43
MGH43_P7_H05	microglia/macrophage	43
MGH43_P4_E06	microglia/macrophage	43
MGH43_P5_F05	microglia/macrophage	43
MGH43_P7_D04	microglia/macrophage	43
MGH43_P5_C11	microglia/macrophage	43
MGH43_P7_B05	microglia/macrophage	43
MGH43_P5_F01	microglia/macrophage	43
MGH43_P5_F10	microglia/macrophage	43
MGH43_P5_F11	microglia/macrophage	43
MGH43_P6_E01	microglia/macrophage	43
MGH43_P6_G01	microglia/macrophage	43
MGH43_P7_H03	microglia/macrophage	43
MGH43_P6_C06	microglia/macrophage	43
MGH43_P7_A04	microglia/macrophage	43
MGH43_P7_G08	microglia/macrophage	43
MGH43_P7_H04	microglia/macrophage	43
MGH43_P7_B10	microglia/macrophage	43
MGH43_P6_D06	microglia/macrophage	43
MGH43_P7_G11	microglia/macrophage	43
MGH43_P6_H11	microglia/macrophage	43
MGH43_P7_A03	microglia/macrophage	43
MGH43_P7_D12	microglia/macrophage	43
MGH43_P8_D01	microglia/macrophage	43
MGH45_P5_D01	microglia/macrophage	45
MGH43_P5_C02	microglia/macrophage	43
MGH43_P7_B11	microglia/macrophage	43
MGH43_P7_D07	microglia/macrophage	43
MGH43_P7_G04	microglia/macrophage	43
MGH43_P6_H03	microglia/macrophage	43
MGH43_P7_F06	microglia/macrophage	43
MGH43_P7_A08	microglia/macrophage	43
MGH43_P7_F05	microglia/macrophage	43
MGH43_P6_F05	microglia/macrophage	43
MGH43_P7_B04	microglia/macrophage	43
MGH45_P5_D11	microglia/macrophage	45
MGH43_P7_F01	microglia/macrophage	43
MGH43_P7_F08	microglia/macrophage	43
MGH43_P7_G01	microglia/macrophage	43
MGH43_P8_E04	microglia/macrophage	43
MGH45_P5_E04	microglia/macrophage	45
MGH43_P8_D07	microglia/macrophage	43
MGH45_P5_D07	microglia/macrophage	45
MGH43_P8_E02	microglia/macrophage	43
MGH45_P5_E02	microglia/macrophage	45
MGH43_P8_G09	microglia/macrophage	43
MGH45_P5_G09	microglia/macrophage	45
MGH43_P8_H10	microglia/macrophage	43
MGH45_P5_H10	microglia/macrophage	45
MGH43_P8_D12	microglia/macrophage	43
MGH45_P5_D12	microglia/macrophage	45
MGH43_P4_C01	microglia/macrophage	43
MGH43_P7_H11	microglia/macrophage	43
MGH43_P6_G10	microglia/macrophage	43
MGH43_P7_F03	microglia/macrophage	43
MGH43_P5_H09	microglia/macrophage	43
MGH43_P8_H01	microglia/macrophage	43
MGH45_P5_H01	microglia/macrophage	45
MGH43_P8_H08	microglia/macrophage	43
MGH45_P5_H08	microglia/macrophage	45
MGH43_P8_C05	microglia/macrophage	43
MGH45_P5_C05	microglia/macrophage	45
MGH43_P8_F05	microglia/macrophage	43
MGH45_P5_F05	microglia/macrophage	45
MGH43_P8_C11	microglia/macrophage	43
MGH45_P5_C11	microglia/macrophage	45
MGH43_P8_E07	microglia/macrophage	43
MGH45_P5_E07	microglia/macrophage	45
MGH43_P8_H04	microglia/macrophage	43
MGH45_P5_H04	microglia/macrophage	45
MGH43_P8_G11	microglia/macrophage	43
MGH45_P5_G11	microglia/macrophage	45
MGH43_P8_G08	microglia/macrophage	43
MGH45_P5_G08	microglia/macrophage	45
MGH43_P8_E03	microglia/macrophage	43
MGH45_P5_E03	microglia/macrophage	45
MGH43_P8_E11	microglia/macrophage	43
MGH45_P5_E11	microglia/macrophage	45
MGH43_P8_A02	microglia/macrophage	43
MGH45_P5_A02	microglia/macrophage	45
MGH42_P8_E09	microglia/macrophage	42
57_P14_G08	microglia/macrophage	57
57_P14_H09	microglia/macrophage	57
57_P14_B10	microglia/macrophage	57
57_P14_H02	microglia/macrophage	57
57_P14_H12	microglia/macrophage	57
57_P14_F10	microglia/macrophage	57
MGH42_P8_G07	microglia/macrophage	42
57_P14_B11	microglia/macrophage	57
57_P14_D03	microglia/macrophage	57
57_P14_D02	microglia/macrophage	57
57_P14_C06	microglia/macrophage	57
57_P14_D04	microglia/macrophage	57
MGH44_P5_D10	microglia/macrophage	44
MGH44_P5_E09	microglia/macrophage	44
MGH44_P5_H04	microglia/macrophage	44
MGH61_P20_A02	microglia/macrophage	61
MGH61_P20_D05	microglia/macrophage	61
MGH61_P20_G04	microglia/macrophage	61
MGH61_P20_A03	microglia/macrophage	61
MGH61_P20_E01	microglia/macrophage	61
MGH61_P20_F01	microglia/macrophage	61
MGH61_P20_B06	microglia/macrophage	61
MGH61_P20_G03	microglia/macrophage	61
57_P14_E10	microglia/macrophage	57
MGH61_P20_C03	microglia/macrophage	61
MGH61_P20_F08	microglia/macrophage	61
MGH61_P20_B09	microglia/macrophage	61
MGH61_P20_H09	microglia/macrophage	61
MGH61_P20_C08	microglia/macrophage	61
MGH61_P20_D09	microglia/macrophage	61
MGH61_P20_E12	microglia/macrophage	61
MGH61_P20_D12	microglia/macrophage	61
MGH61_P20_E04	microglia/macrophage	61
MGH61_P20_G08	microglia/macrophage	61
MGH43_P8_H11	microglia/macrophage	43
MGH45_P5_H11	microglia/macrophage	45
MGH43_P8_B02	microglia/macrophage	43
MGH45_P5_B02	microglia/macrophage	45
MGH43_P8_B03	microglia/macrophage	43
MGH45_P5_B03	microglia/macrophage	45
MGH43_P8_H03	microglia/macrophage	43
MGH45_P5_H03	microglia/macrophage	45
MGH43_P3_A02	microglia/macrophage	43
MGH43_P4_F01	microglia/macrophage	43
MGH43_P5_H08	microglia/macrophage	43
MGH43_P6_G03	microglia/macrophage	43
MGH43_P6_H06	microglia/macrophage	43
MGH43_P4_F11	microglia/macrophage	43
MGH43_P4_G05	microglia/macrophage	43
MGH43_P7_D02	microglia/macrophage	43
MGH43_P7_C05	microglia/macrophage	43
MGH43_P7_E10	microglia/macrophage	43
MGH43_P5_F07	microglia/macrophage	43
MGH43_P4_A07	microglia/macrophage	43
MGH43_P4_G12	microglia/macrophage	43
MGH43_P6_D07	microglia/macrophage	43
MGH43_P6_E05	microglia/macrophage	43
MGH43_P4_E07	microglia/macrophage	43
MGH43_P6_E07	microglia/macrophage	43
MGH43_P4_B12	microglia/macrophage	43
MGH43_P7_G09	microglia/macrophage	43
MGH43_P7_B12	microglia/macrophage	43
MGH43_P7_C02	microglia/macrophage	43
MGH43_P6_D04	microglia/macrophage	43
MGH43_P7_G03	microglia/macrophage	43
MGH43_P6_A02	microglia/macrophage	43
MGH43_P7_H09	microglia/macrophage	43
MGH43_P4_D10	microglia/macrophage	43
MGH43_P6_E02	microglia/macrophage	43
MGH43_P7_C12	microglia/macrophage	43
MGH43_P8_G02	microglia/macrophage	43
MGH45_P5_G02	microglia/macrophage	45
MGH43_P8_C06	microglia/macrophage	43
MGH45_P5_C06	microglia/macrophage	45
MGH43_P3_A03	microglia/macrophage	43
MGH43_P3_C09	microglia/macrophage	43
MGH43_P3_D06	microglia/macrophage	43
MGH43_P7_C10	microglia/macrophage	43
MGH43_P7_G12	microglia/macrophage	43
MGH43_P3_D12	microglia/macrophage	43
MGH43_P3_E11	microglia/macrophage	43
MGH43_P6_H08	microglia/macrophage	43
MGH43_P7_B06	microglia/macrophage	43
MGH43_P7_F09	microglia/macrophage	43
MGH43_P3_C06	microglia/macrophage	43
MGH43_P7_E03	microglia/macrophage	43
MGH43_P4_B06	microglia/macrophage	43
MGH43_P6_E06	microglia/macrophage	43
MGH43_P7_E06	microglia/macrophage	43
MGH43_P3_G08	microglia/macrophage	43
MGH43_P3_G11	microglia/macrophage	43
MGH43_P3_B09	microglia/macrophage	43
MGH43_P4_B01	microglia/macrophage	43
MGH43_P6_B12	microglia/macrophage	43
MGH43_P7_D03	microglia/macrophage	43
MGH43_P6_A01	microglia/macrophage	43
MGH43_P7_F12	microglia/macrophage	43
MGH43_P3_E02	microglia/macrophage	43
MGH43_P5_E12	microglia/macrophage	43
MGH43_P5_A03	microglia/macrophage	43
MGH43_P3_D05	microglia/macrophage	43
MGH43_P3_H03	microglia/macrophage	43
MGH43_P4_F03	microglia/macrophage	43
MGH43_P4_G03	microglia/macrophage	43
MGH43_P8_C07	microglia/macrophage	43
MGH43_P8_C08	microglia/macrophage	43
MGH45_P5_C08	microglia/macrophage	45
MGH43_P8_B08	microglia/macrophage	43
MGH45_P5_B08	microglia/macrophage	45
MGH43_P8_D10	microglia/macrophage	43
MGH45_P5_D10	microglia/macrophage	45
MGH43_P8_F11	microglia/macrophage	43
MGH45_P5_F11	microglia/macrophage	45
MGH43_P8_F01	microglia/macrophage	43
MGH45_P5_F01	microglia/macrophage	45
MGH43_P8_C04	microglia/macrophage	43
MGH45_P5_C04	microglia/macrophage	45
MGH43_P8_A01	microglia/macrophage	43
MGH45_P5_A01	microglia/macrophage	45
MGH43_P8_B06	microglia/macrophage	43
MGH45_P5_B06	microglia/macrophage	45
MGH43_P8_B10	microglia/macrophage	43
MGH45_P5_B10	microglia/macrophage	45
MGH43_P8_D04	microglia/macrophage	43
MGH45_P5_D04	microglia/macrophage	45
MGH42_P7_D10	microglia/macrophage	42
57_P14_B01	microglia/macrophage	57
MGH42_P4_F03	microglia/macrophage	42
57_P14_D01	microglia/macrophage	57
MGH42_P4_C11	microglia/macrophage	42
MGH42_P6_G01	microglia/macrophage	42
MGH43_P8_H12	microglia/macrophage	43
MGH45_P5_H12	microglia/macrophage	45
MGH42_P3_B07	microglia/macrophage	42
57_P14_C07	microglia/macrophage	57
57_P14_F11	microglia/macrophage	57
MGH42_P4_A09	microglia/macrophage	42
MGH43_P3_F10	microglia/macrophage	43
MGH43_P7_D05	microglia/macrophage	43
MGH43_P3_H08	microglia/macrophage	43
MGH43_P6_B02	microglia/macrophage	43
MGH43_P6_F04	microglia/macrophage	43
MGH43_P7_B02	microglia/macrophage	43
MGH43_P7_H08	microglia/macrophage	43
MGH43_P8_G12	microglia/macrophage	43
MGH45_P5_G12	microglia/macrophage	45
MGH56_P2_A05	microglia/macrophage	56
MGH64_P15_C11	microglia/macrophage	64
MGH64_P10_H01	microglia/macrophage	64
MGH64_P15_A12	microglia/macrophage	64
MGH61_P20_A07	microglia/macrophage	61
MGH61_P20_G09	microglia/macrophage	61
MGH61_P20_B05	microglia/macrophage	61
MGH107pos_P2_C11	microglia/macrophage	107
MGH43_P3_A05	microglia/macrophage	43
MGH43_P3_F07	microglia/macrophage	43
MGH43_P3_H11	microglia/macrophage	43
MGH43_P5_G04	microglia/macrophage	43
MGH43_P6_D10	microglia/macrophage	43
MGH43_P6_F07	microglia/macrophage	43
MGH43_P6_H09	microglia/macrophage	43
MGH43_P6_A08	microglia/macrophage	43
MGH43_P7_E08	microglia/macrophage	43
MGH43_P3_A11	microglia/macrophage	43
MGH43_P3_B07	microglia/macrophage	43
MGH43_P4_G09	microglia/macrophage	43
MGH43_P5_B05	microglia/macrophage	43
MGH43_P6_B11	microglia/macrophage	43
MGH43_P5_E11	microglia/macrophage	43
MGH43_P5_G11	microglia/macrophage	43
MGH43_P6_A06	microglia/macrophage	43
MGH43_P8_A04	microglia/macrophage	43
MGH45_P5_A04	microglia/macrophage	45
MGH43_P4_G11	microglia/macrophage	43
MGH43_P7_D08	microglia/macrophage	43
MGH43_P6_D01	microglia/macrophage	43
MGH43_P6_B06	microglia/macrophage	43
MGH43_P5_G09	microglia/macrophage	43
MGH43_P8_A06	microglia/macrophage	43
MGH45_P5_A06	microglia/macrophage	45
MGH43_P8_G03	microglia/macrophage	43
MGH45_P5_G03	microglia/macrophage	45
MGH43_P8_G07	microglia/macrophage	43
MGH45_P5_G07	microglia/macrophage	45
MGH43_P8_C10	microglia/macrophage	43
MGH45_P5_C10	microglia/macrophage	45
MGH43_P8_D03	microglia/macrophage	43
MGH45_P5_D03	microglia/macrophage	45
MGH43_P8_A10	microglia/macrophage	43
MGH45_P5_A10	microglia/macrophage	45
MGH43_P8_E10	microglia/macrophage	43
MGH45_P5_E10	microglia/macrophage	45
MGH43_P8_H05	microglia/macrophage	43
MGH45_P5_H05	microglia/macrophage	45
MGH43_P8_D05	microglia/macrophage	43
MGH45_P5_D05	microglia/macrophage	45
MGH43_P3_E08	microglia/macrophage	43
MGH43_P3_F04	microglia/macrophage	43
MGH43_P3_F08	microglia/macrophage	43
MGH44_P3_A01	microglia/macrophage	44
MGH44_P3_C11	microglia/macrophage	44
MGH44_P3_D05	microglia/macrophage	44
MGH44_P3_H11	microglia/macrophage	44
MGH44_P3_B05	microglia/macrophage	44
MGH44_P3_E07	microglia/macrophage	44
MGH44_P3_A08	microglia/macrophage	44
MGH64_P15_C10	microglia/macrophage	64
MGH64_P10_F08	microglia/macrophage	64
MGH61_P20_D06	microglia/macrophage	61
MGH64_P15_B08	microglia/macrophage	64
MGH44_P4_B02	microglia/macrophage	44
MGH61_P20_H12	microglia/macrophage	61
MGH64_P6_D12	microglia/macrophage	64
MGH64-P16-E08	microglia/macrophage	64
MGH64_P15_G12	microglia/macrophage	64
MGH64_P15_E02	microglia/macrophage	64
MGH64_P15_E11	microglia/macrophage	64
MGH64_P15_E08	microglia/macrophage	64
MGH64_P15_A10	microglia/macrophage	64
MGH64_P15_E10	microglia/macrophage	64
MGH64_P15_D07	microglia/macrophage	64
MGH64_P15_B10	microglia/macrophage	64
MGH64_P15_F06	microglia/macrophage	64
MGH64-P16-C06	microglia/macrophage	64
MGH64_P15_A07	microglia/macrophage	64
MGH64_P15_C04	microglia/macrophage	64
MGH64_P15_B05	microglia/macrophage	64
MGH64_P15_F05	microglia/macrophage	64
MGH61_P20_B07	microglia/macrophage	61
MGH64_P15_D09	microglia/macrophage	64
MGH64_P15_A11	microglia/macrophage	64
MGH64_P15_H01	microglia/macrophage	64
MGH64_P15_E12	microglia/macrophage	64
MGH56_P2_F10	microglia/macrophage	56
MGH61_P20_C04	microglia/macrophage	61
MGH61_P20_D11	microglia/macrophage	61
MGH64_P6_D11	microglia/macrophage	64
MGH44_P5_C01	microglia/macrophage	44
MGH61_P20_D01	microglia/macrophage	61
MGH44_P4_D09	microglia/macrophage	44
MGH44_P5_A07	microglia/macrophage	44
MGH61_P20_A01	microglia/macrophage	61
MGH61_P20_E08	microglia/macrophage	61
MGH61_P20_A08	microglia/macrophage	61
MGH61_P20_B11	microglia/macrophage	61
MGH61_P20_H03	microglia/macrophage	61
MGH61_P20_F04	microglia/macrophage	61
MGH61_P20_F11	microglia/macrophage	61
MGH61_P20_C09	microglia/macrophage	61
MGH61_P20_F12	microglia/macrophage	61
MGH61_P20_B02	microglia/macrophage	61
MGH61_P20_D04	microglia/macrophage	61
MGH61_P20_F10	microglia/macrophage	61
MGH61_P20_H10	microglia/macrophage	61
MGH61_P20_D08	microglia/macrophage	61
MGH61_P20_C02	microglia/macrophage	61
MGH61_P20_G02	microglia/macrophage	61
MGH61_P20_B03	microglia/macrophage	61
MGH61_P20_H04	microglia/macrophage	61
MGH61_P20_B04	microglia/macrophage	61
MGH44_P4_G01	microglia/macrophage	44
MGH61_P20_A11	microglia/macrophage	61
MGH61_P20_B12	microglia/macrophage	61
MGH61_P20_C11	microglia/macrophage	61
MGH61_P20_C12	microglia/macrophage	61
MGH61_P20_E06	microglia/macrophage	61
MGH61_P20_G12	microglia/macrophage	61
MGH61_P20_G06	microglia/macrophage	61
MGH43_P6_B04	microglia/macrophage	43
MGH44_P5_H12	microglia/macrophage	44
57_P14_E08	microglia/macrophage	57
57_P14_F09	microglia/macrophage	57
57_P14_H03	microglia/macrophage	57
57_P14_A08	microglia/macrophage	57
57_P14_E09	microglia/macrophage	57
57_P14_D05	microglia/macrophage	57
57_P14_H04	microglia/macrophage	57
MGH43_P6_F06	microglia/macrophage	43
MGH43_P7_A09	microglia/macrophage	43
MGH43_P6_F10	microglia/macrophage	43
MGH43_P7_F04	microglia/macrophage	43
MGH43_P8_B05	microglia/macrophage	43
57_P14_F07	microglia/macrophage	57
57_P14_B09	microglia/macrophage	57
57_P14_D07	microglia/macrophage	57
57_P14_H08	microglia/macrophage	57
57_P14_E01	microglia/macrophage	57
57_P14_G01	microglia/macrophage	57
57_P14_H01	microglia/macrophage	57
57_P14_E04	microglia/macrophage	57
57_P14_C02	microglia/macrophage	57
57_P14_H07	microglia/macrophage	57
57_P14_A10	microglia/macrophage	57
57_P14_C04	microglia/macrophage	57
57_P14_F03	microglia/macrophage	57
57_P14_D11	microglia/macrophage	57
57_P14_E12	microglia/macrophage	57
57_P14_G11	microglia/macrophage	57
57_P14_F05	microglia/macrophage	57
MGH43_P4_E09	microglia/macrophage	43
MGH64_P15_E04	microglia/macrophage	64
MGH43_P6_E12	microglia/macrophage	43
MGH43_P6_C11	microglia/macrophage	43
MGH61_P20_F03	microglia/macrophage	61
MGH61_P20_B08	microglia/macrophage	61
MGH61_P20_C10	microglia/macrophage	61
MGH61_P20_H05	microglia/macrophage	61
MGH61_P20_H07	microglia/macrophage	61
MGH64_P10_H05	microglia/macrophage	64
MGH64_P15_F02	microglia/macrophage	64
MGH64-P16-C08	microglia/macrophage	64
MGH64_P15_B02	microglia/macrophage	64
MGH64_P15_F11	microglia/macrophage	64
MGH64_P15_G01	microglia/macrophage	64
MGH64_P15_H04	microglia/macrophage	64
MGH64_P12_A08	microglia/macrophage	64
MGH64_P12_E10	microglia/macrophage	64
MGH64_P12_F05	microglia/macrophage	64
MGH64_P15_E01	microglia/macrophage	64
MGH64_P15_F07	microglia/macrophage	64
MGH64_P15_B06	microglia/macrophage	64
MGH64_P15_C07	microglia/macrophage	64
MGH64_P15_C06	microglia/macrophage	64
MGH64_P15_C09	microglia/macrophage	64
MGH64_P15_B03	microglia/macrophage	64
MGH64_P15_H07	microglia/macrophage	64
MGH64_P15_D08	microglia/macrophage	64
MGH64_P15_G02	microglia/macrophage	64
MGH64_P15_F09	microglia/macrophage	64
MGH64_P15_H12	microglia/macrophage	64
MGH64_P15_F04	microglia/macrophage	64
MGH56_P2_A02	microglia/macrophage	56
MGH56_P2_A11	microglia/macrophage	56
MGH56_P2_A10	microglia/macrophage	56
MGH56_P2_D04	microglia/macrophage	56
MGH56_P2_D12	microglia/macrophage	56
MGH56_P2_D11	microglia/macrophage	56
MGH56_P2_E10	microglia/macrophage	56
MGH56_P2_G03	microglia/macrophage	56
MGH56_P2_G02	microglia/macrophage	56
MGH56_P2_A08	microglia/macrophage	56
MGH56_P2_C05	microglia/macrophage	56
MGH56_P2_H08	microglia/macrophage	56
MGH61_P20_A06	microglia/macrophage	61
MGH56_P2_A06	microglia/macrophage	56
MGH56_P2_C02	microglia/macrophage	56
MGH56_P2_E04	microglia/macrophage	56
MGH56_P2_H01	microglia/macrophage	56
57_P14_D09	microglia/macrophage	57
MGH56_P2_E12	microglia/macrophage	56
MGH56_P2_A07	microglia/macrophage	56
MGH56_P2_B12	microglia/macrophage	56
MGH56_P2_B01	microglia/macrophage	56
MGH56_P2_E05	microglia/macrophage	56
MGH56_P2_E02	microglia/macrophage	56
MGH56_P2_E01	microglia/macrophage	56
MGH56_P2_F01	microglia/macrophage	56
MGH56_P2_D03	microglia/macrophage	56
MGH56_P2_H12	microglia/macrophage	56
MGH56_P2_D06	microglia/macrophage	56
MGH56_P2_B05	microglia/macrophage	56
MGH56_P2_B07	microglia/macrophage	56
MGH56_P2_C07	microglia/macrophage	56
MGH56_P2_H02	microglia/macrophage	56
MGH56_P2_A12	microglia/macrophage	56
MGH56_P2_B04	microglia/macrophage	56
MGH56_P2_E06	microglia/macrophage	56
MGH56_P2_B10	microglia/macrophage	56
MGH56_P2_H09	microglia/macrophage	56
MGH56_P2_E07	microglia/macrophage	56
MGH56_P2_B06	microglia/macrophage	56
MGH56_P2_C03	microglia/macrophage	56
MGH56_P2_C04	microglia/macrophage	56
MGH56_P2_G05	microglia/macrophage	56
MGH56_P2_B11	microglia/macrophage	56
MGH56_P2_C11	microglia/macrophage	56
MGH56_P2_H07	microglia/macrophage	56
MGH107pos_P2_F04	microglia/macrophage	107
MGH45_P4_D06	microglia/macrophage	45
MGH42_P4_B02	microglia/macrophage	42
MGH42_P6_F11	microglia/macrophage	42
MGH45_P6_C03	microglia/macrophage	45
MGH61_P20_D10	microglia/macrophage	61
57_P14_D08	microglia/macrophage	57
MGH64_P12_D11	microglia/macrophage	64
MGH64_P12_G05	microglia/macrophage	64
MGH64_P15_A01	microglia/macrophage	64
MGH64_P5_C01	microglia/macrophage	64
MGH64_P6_A09	microglia/macrophage	64
MGH64_P15_D02	microglia/macrophage	64
MGH61_P20_H11	microglia/macrophage	61
MGH42_P7_B05	microglia/macrophage	42
MGH42_P8_A02	microglia/macrophage	42
MGH42_P8_B07	microglia/macrophage	42
MGH42_P8_D01	microglia/macrophage	42
MGH42_P8_G03	microglia/macrophage	42
MGH42_P8_C12	microglia/macrophage	42
MGH43_P5_D12	microglia/macrophage	43
MGH42_P7_C06	microglia/macrophage	42
MGH42_P4_B05	microglia/macrophage	42
MGH42_P6_F05	microglia/macrophage	42
MGH42_P8_A04	microglia/macrophage	42
MGH42_P3_F10	microglia/macrophage	42
MGH42_P8_B09	microglia/macrophage	42
MGH42_P8_E02	microglia/macrophage	42
MGH42_P7_G01	microglia/macrophage	42
MGH42_P5_D07	microglia/macrophage	42
MGH42_P6_A02	microglia/macrophage	42
MGH42_P5_F11	microglia/macrophage	42
MGH45_P4_D03	microglia/macrophage	45
MGH45_P1_A07	microglia/macrophage	45
MGH45_P6_D12	microglia/macrophage	45
MGH45_P7_F10	microglia/macrophage	45
MGH45_P8_C10	microglia/macrophage	45
MGH45_P7_A06	microglia/macrophage	45
MGH45_P4_E07	microglia/macrophage	45
MGH45_P7_E04	microglia/macrophage	45
MGH45_P6_F08	microglia/macrophage	45
MGH45_P7_B09	microglia/macrophage	45
MGH45_P7_H10	microglia/macrophage	45
MGH45_P8_D08	microglia/macrophage	45
MGH45_P1_D04	microglia/macrophage	45
MGH45_P4_G07	microglia/macrophage	45
MGH45_P7_B11	microglia/macrophage	45
MGH45_P8_B08	microglia/macrophage	45
MGH45_P8_D06	microglia/macrophage	45
MGH45_P7_F05	microglia/macrophage	45
MGH45_P1_H11	microglia/macrophage	45
MGH43_P4_E03	microglia/macrophage	43
MGH64_P15_B12	microglia/macrophage	64
MGH64_P15_G04	microglia/macrophage	64
57_P14_A11	microglia/macrophage	57
